UDI,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,Failure Type
2159,17018.0,M,299.5,309.0,1399.0,49.7,207.0,0,0,0,0,0,0,Tool Wear Failure
2160,17019.0,M,299.5,309.0,1602.0,31.3,210.0,0,0,0,0,0,0,Tool Wear Failure
2161,49340.0,L,299.4,309.0,1507.0,41.0,213.0,0,0,0,0,0,0,Tool Wear Failure
2162,49341.0,L,299.4,309.1,1464.0,40.5,215.0,0,0,0,0,0,0,Tool Wear Failure
2163,49342.0,L,299.5,309.1,1336.0,42.1,217.0,0,0,0,0,0,0,Tool Wear Failure
2164,49343.0,L,299.6,309.2,1422.0,39.8,219.0,0,0,0,0,0,0,Tool Wear Failure
2165,49344.0,L,299.6,309.2,1540.0,36.7,221.0,0,0,0,0,0,0,Tool Wear Failure
2166,49345.0,L,299.5,309.1,1476.0,47.8,223.0,0,0,0,0,0,0,Tool Wear Failure
2167,17026.0,M,299.6,309.2,1867.0,23.4,225.0,1,1,0,0,0,0,Tool Wear Failure
2168,31581.0,H,299.6,309.1,1588.0,41.3,0.0,0,0,0,0,0,0,Tool Wear Failure
2169,17028.0,M,299.5,309.1,1420.0,49.5,5.0,0,0,0,0,0,0,Tool Wear Failure
2170,49349.0,L,299.5,309.1,1415.0,49.2,8.0,0,0,0,0,0,0,Tool Wear Failure
2171,17030.0,M,299.4,309.1,1500.0,43.3,10.0,0,0,0,0,0,0,Tool Wear Failure
2172,49351.0,L,299.5,309.1,1502.0,44.6,13.0,0,0,0,0,0,0,Tool Wear Failure
2173,49352.0,L,299.5,309.2,1816.0,23.0,15.0,0,0,0,0,0,0,Tool Wear Failure
2174,17033.0,M,299.5,309.2,1495.0,41.6,17.0,0,0,0,0,0,0,Tool Wear Failure
2175,49354.0,L,299.6,309.2,1572.0,33.4,20.0,0,0,0,0,0,0,Tool Wear Failure
2176,17035.0,M,299.5,309.2,1590.0,35.9,22.0,0,0,0,0,0,0,Tool Wear Failure
2177,17036.0,M,299.6,309.3,1387.0,48.3,25.0,0,0,0,0,0,0,Tool Wear Failure
2178,17037.0,M,299.6,309.2,1393.0,47.7,28.0,0,0,0,0,0,0,Tool Wear Failure
2179,49358.0,L,299.6,309.2,1602.0,37.3,31.0,0,0,0,0,0,0,Tool Wear Failure
2180,49359.0,L,299.6,309.2,1601.0,33.3,33.0,0,0,0,0,0,0,Tool Wear Failure
2181,31594.0,H,299.6,309.2,1597.0,36.3,35.0,0,0,0,0,0,0,Tool Wear Failure
2182,31595.0,H,299.5,309.1,1548.0,44.3,40.0,0,0,0,0,0,0,Tool Wear Failure
2183,17042.0,M,299.5,309.2,1314.0,61.8,45.0,0,0,0,0,0,0,Tool Wear Failure
2184,17043.0,M,299.6,309.3,1577.0,39.8,48.0,0,0,0,0,0,0,Tool Wear Failure
2185,49364.0,L,299.8,309.4,1475.0,43.4,51.0,0,0,0,0,0,0,Tool Wear Failure
2186,49365.0,L,299.8,309.4,1630.0,32.4,53.0,0,0,0,0,0,0,Tool Wear Failure
2187,49366.0,L,299.7,309.4,1445.0,42.9,55.0,0,0,0,0,0,0,Tool Wear Failure
2188,17047.0,M,299.8,309.4,1439.0,47.4,57.0,0,0,0,0,0,0,Tool Wear Failure
2189,49368.0,L,299.7,309.3,1420.0,44.1,60.0,0,0,0,0,0,0,Tool Wear Failure
2190,31603.0,H,299.7,309.2,1554.0,41.6,62.0,0,0,0,0,0,0,Tool Wear Failure
2191,17050.0,M,299.6,309.1,1471.0,44.3,67.0,0,0,0,0,0,0,Tool Wear Failure
2192,49371.0,L,299.6,309.0,1648.0,33.6,70.0,0,0,0,0,0,0,Tool Wear Failure
2193,49372.0,L,299.6,309.0,1472.0,48.8,72.0,0,0,0,0,0,0,Tool Wear Failure
2194,17053.0,M,299.5,308.9,1448.0,42.9,74.0,0,0,0,0,0,0,Tool Wear Failure
2195,17054.0,M,299.6,308.9,1568.0,35.3,77.0,0,0,0,0,0,0,Tool Wear Failure
2196,49375.0,L,299.6,308.9,1613.0,30.8,80.0,0,0,0,0,0,0,Tool Wear Failure
2197,17056.0,M,299.7,308.9,1551.0,35.4,82.0,0,0,0,0,0,0,Tool Wear Failure
2198,49377.0,L,299.7,309.0,1412.0,49.2,85.0,0,0,0,0,0,0,Tool Wear Failure
2199,17058.0,M,299.7,308.9,1478.0,41.0,87.0,0,0,0,0,0,0,Tool Wear Failure
2200,17059.0,M,299.8,309.1,1268.0,58.0,90.0,0,0,0,0,0,0,Tool Wear Failure
2201,49380.0,L,299.8,309.1,1546.0,35.6,93.0,0,0,0,0,0,0,Tool Wear Failure
2202,49381.0,L,299.8,309.0,1567.0,36.1,95.0,0,0,0,0,0,0,Tool Wear Failure
2203,17062.0,M,299.9,309.2,1548.0,35.7,97.0,0,0,0,0,0,0,Tool Wear Failure
2204,49383.0,L,299.8,309.0,1614.0,30.8,100.0,0,0,0,0,0,0,Tool Wear Failure
2205,17064.0,M,299.7,309.1,1352.0,46.1,102.0,0,0,0,0,0,0,Tool Wear Failure
2206,49385.0,L,299.9,309.2,1624.0,34.6,105.0,0,0,0,0,0,0,Tool Wear Failure
2207,49386.0,L,299.9,309.2,1436.0,52.0,107.0,0,0,0,0,0,0,Tool Wear Failure
2208,49387.0,L,299.8,309.2,1591.0,37.5,109.0,0,0,0,0,0,0,Tool Wear Failure
2209,31622.0,H,299.8,309.2,1435.0,42.6,111.0,0,0,0,0,0,0,Tool Wear Failure
2210,49389.0,L,299.8,309.3,1386.0,49.4,116.0,0,0,0,0,0,0,Tool Wear Failure
2211,49390.0,L,299.7,309.2,1401.0,54.1,118.0,0,0,0,0,0,0,Tool Wear Failure
2212,17071.0,M,299.6,309.0,1245.0,64.0,120.0,0,0,0,0,0,0,Tool Wear Failure
2213,49392.0,L,299.7,309.1,1475.0,40.0,123.0,0,0,0,0,0,0,Tool Wear Failure
2214,49393.0,L,299.7,309.1,1473.0,39.4,125.0,0,0,0,0,0,0,Tool Wear Failure
2215,31628.0,H,299.7,309.2,1355.0,44.8,127.0,0,0,0,0,0,0,Tool Wear Failure
2216,31629.0,H,299.7,309.2,1468.0,49.6,132.0,0,0,0,0,0,0,Tool Wear Failure
2217,49396.0,L,299.7,309.2,1645.0,30.8,137.0,0,0,0,0,0,0,Tool Wear Failure
2218,49397.0,L,299.7,309.1,1347.0,55.3,139.0,0,0,0,0,0,0,Tool Wear Failure
2219,49398.0,L,299.7,309.1,1713.0,33.5,141.0,0,0,0,0,0,0,Tool Wear Failure
2220,17079.0,M,299.6,309.1,1435.0,48.4,143.0,0,0,0,0,0,0,Tool Wear Failure
2221,17080.0,M,299.6,309.0,1736.0,26.1,146.0,0,0,0,0,0,0,Tool Wear Failure
2222,49401.0,L,299.6,309.0,1372.0,60.4,149.0,0,0,0,0,0,0,Tool Wear Failure
2223,49402.0,L,299.7,309.0,1605.0,33.0,151.0,0,0,0,0,0,0,Tool Wear Failure
2224,49403.0,L,299.6,309.0,1413.0,48.5,153.0,0,0,0,0,0,0,Tool Wear Failure
2225,17084.0,M,299.7,309.0,1645.0,31.9,155.0,0,0,0,0,0,0,Tool Wear Failure
2226,17085.0,M,299.7,309.0,1465.0,49.0,158.0,0,0,0,0,0,0,Tool Wear Failure
2227,17086.0,M,299.6,308.9,1685.0,27.8,161.0,0,0,0,0,0,0,Tool Wear Failure
2228,49407.0,L,299.5,308.8,1965.0,20.4,164.0,0,0,0,0,0,0,Tool Wear Failure
2229,31642.0,H,299.4,308.6,1542.0,41.8,166.0,0,0,0,0,0,0,Tool Wear Failure
2230,49409.0,L,299.4,308.7,1681.0,30.8,171.0,0,0,0,0,0,0,Tool Wear Failure
2231,49410.0,L,299.5,308.7,1446.0,45.7,173.0,0,0,0,0,0,0,Tool Wear Failure
2232,49411.0,L,299.4,308.6,1415.0,56.4,175.0,0,0,0,0,0,0,Tool Wear Failure
2233,49412.0,L,299.5,308.6,1672.0,30.5,177.0,0,0,0,0,0,0,Tool Wear Failure
2234,49413.0,L,299.5,308.7,2549.0,13.0,179.0,1,0,0,1,0,0,Power Failure
2235,49414.0,L,299.4,308.6,1492.0,40.5,181.0,0,0,0,0,0,0,Tool Wear Failure
2236,17095.0,M,299.4,308.6,1455.0,42.7,183.0,0,0,0,0,0,0,Tool Wear Failure
2237,17096.0,M,299.3,308.5,1422.0,43.1,186.0,0,0,0,0,0,0,Tool Wear Failure
2238,49417.0,L,299.3,308.6,1403.0,50.6,189.0,0,0,0,0,0,0,Tool Wear Failure
2239,49418.0,L,299.3,308.6,1474.0,49.6,191.0,0,0,0,0,0,0,Tool Wear Failure
2240,49419.0,L,299.2,308.6,1381.0,50.0,193.0,0,0,0,0,0,0,Tool Wear Failure
2241,49420.0,L,299.2,308.5,1457.0,44.7,195.0,0,0,0,0,0,0,Tool Wear Failure
2242,49421.0,L,299.2,308.4,1711.0,28.9,197.0,0,0,0,0,0,0,Tool Wear Failure
2243,49422.0,L,299.2,308.4,1667.0,29.0,199.0,0,0,0,0,0,0,Tool Wear Failure
2244,49423.0,L,299.2,308.4,1465.0,35.0,201.0,0,0,0,0,0,0,Tool Wear Failure
2245,17104.0,M,299.3,308.4,1542.0,37.5,203.0,1,1,0,0,0,0,Tool Wear Failure
2246,17105.0,M,299.3,308.4,1438.0,42.3,0.0,0,0,0,0,0,0,Tool Wear Failure
2247,49426.0,L,299.3,308.4,1406.0,47.4,3.0,0,0,0,0,0,0,Tool Wear Failure
2248,17107.0,M,299.2,308.4,1396.0,48.5,5.0,0,0,0,0,0,0,Tool Wear Failure
2249,17108.0,M,299.3,308.5,1304.0,60.6,8.0,0,0,0,0,0,0,Tool Wear Failure
2250,49429.0,L,299.2,308.5,1442.0,46.5,11.0,0,0,0,0,0,0,Tool Wear Failure
2251,17110.0,M,299.2,308.4,1396.0,48.7,13.0,0,0,0,0,0,0,Tool Wear Failure
2252,31665.0,H,299.1,308.3,1424.0,43.4,16.0,0,0,0,0,0,0,Tool Wear Failure
2253,31666.0,H,299.1,308.3,1451.0,42.8,21.0,0,0,0,0,0,0,Tool Wear Failure
2254,49433.0,L,299.2,308.4,1386.0,54.1,26.0,0,0,0,0,0,0,Tool Wear Failure
2255,49434.0,L,299.1,308.3,1325.0,46.9,28.0,0,0,0,0,0,0,Tool Wear Failure
2256,49435.0,L,299.1,308.3,1559.0,33.7,30.0,0,0,0,0,0,0,Tool Wear Failure
2257,49436.0,L,299.1,308.3,1489.0,38.1,32.0,0,0,0,0,0,0,Tool Wear Failure
2258,49437.0,L,299.1,308.3,1892.0,25.2,34.0,0,0,0,0,0,0,Tool Wear Failure
2259,49438.0,L,299.1,308.2,1319.0,60.3,36.0,0,0,0,0,0,0,Tool Wear Failure
2260,49439.0,L,299.1,308.3,1431.0,52.3,38.0,0,0,0,0,0,0,Tool Wear Failure
2261,31674.0,H,299.1,308.3,1521.0,36.5,40.0,0,0,0,0,0,0,Tool Wear Failure
2262,17121.0,M,299.1,308.2,1435.0,45.2,45.0,0,0,0,0,0,0,Tool Wear Failure
2263,49442.0,L,299.1,308.3,1533.0,42.4,48.0,0,0,0,0,0,0,Tool Wear Failure
2264,17123.0,M,299.2,308.4,1529.0,43.0,50.0,0,0,0,0,0,0,Tool Wear Failure
2265,17124.0,M,299.2,308.4,1415.0,43.5,53.0,0,0,0,0,0,0,Tool Wear Failure
2266,17125.0,M,299.2,308.4,1330.0,51.2,56.0,0,0,0,0,0,0,Tool Wear Failure
2267,49446.0,L,299.2,308.5,1381.0,60.6,59.0,0,0,0,0,0,0,Tool Wear Failure
2268,49447.0,L,299.2,308.5,1370.0,52.4,61.0,0,0,0,0,0,0,Tool Wear Failure
2269,49448.0,L,299.2,308.5,1438.0,46.6,63.0,0,0,0,0,0,0,Tool Wear Failure
2270,49449.0,L,299.3,308.6,1314.0,48.2,65.0,0,0,0,0,0,0,Tool Wear Failure
2271,49450.0,L,299.3,308.6,1437.0,48.1,67.0,0,0,0,0,0,0,Tool Wear Failure
2272,49451.0,L,299.2,308.5,1821.0,26.1,69.0,0,0,0,0,0,0,Tool Wear Failure
2273,17132.0,M,299.3,308.6,1448.0,52.1,71.0,0,0,0,0,0,0,Tool Wear Failure
2274,49453.0,L,299.3,308.5,1589.0,32.7,74.0,0,0,0,0,0,0,Tool Wear Failure
2275,49454.0,L,299.3,308.6,1520.0,33.7,76.0,0,0,0,0,0,0,Tool Wear Failure
2276,49455.0,L,299.3,308.6,1605.0,37.0,78.0,0,0,0,0,0,0,Tool Wear Failure
2277,49456.0,L,299.3,308.7,1393.0,54.2,80.0,0,0,0,0,0,0,Tool Wear Failure
2278,31691.0,H,299.3,308.7,1408.0,44.4,82.0,0,0,0,0,0,0,Tool Wear Failure
2279,17138.0,M,299.3,308.7,1459.0,35.6,87.0,0,0,0,0,0,0,Tool Wear Failure
2280,49459.0,L,299.4,308.7,1525.0,39.0,90.0,0,0,0,0,0,0,Tool Wear Failure
2281,49460.0,L,299.4,308.8,1390.0,57.0,92.0,0,0,0,0,0,0,Tool Wear Failure
2282,49461.0,L,299.3,308.7,1536.0,38.9,94.0,0,0,0,0,0,0,Tool Wear Failure
2283,49462.0,L,299.4,308.7,1459.0,47.6,96.0,0,0,0,0,0,0,Tool Wear Failure
2284,49463.0,L,299.2,308.5,1387.0,51.1,98.0,0,0,0,0,0,0,Tool Wear Failure
2285,49464.0,L,299.2,308.5,1378.0,53.4,100.0,0,0,0,0,0,0,Tool Wear Failure
2286,49465.0,L,299.4,308.7,1381.0,56.7,102.0,0,0,0,0,0,0,Tool Wear Failure
2287,17146.0,M,299.4,308.7,1289.0,60.5,104.0,0,0,0,0,0,0,Tool Wear Failure
2288,49467.0,L,299.4,308.6,1746.0,26.8,107.0,0,0,0,0,0,0,Tool Wear Failure
2289,17148.0,M,299.4,308.6,1541.0,39.1,109.0,0,0,0,0,0,0,Tool Wear Failure
2290,49469.0,L,299.4,308.7,1504.0,37.8,112.0,0,0,0,0,0,0,Tool Wear Failure
2291,17150.0,M,299.5,308.7,1321.0,51.9,114.0,0,0,0,0,0,0,Tool Wear Failure
2292,17151.0,M,299.5,308.8,1886.0,20.9,117.0,0,0,0,0,0,0,Tool Wear Failure
2293,49472.0,L,299.6,308.9,1422.0,53.2,120.0,0,0,0,0,0,0,Tool Wear Failure
2294,49473.0,L,299.5,308.9,1520.0,38.3,122.0,0,0,0,0,0,0,Tool Wear Failure
2295,49474.0,L,299.4,308.8,1627.0,32.6,124.0,0,0,0,0,0,0,Tool Wear Failure
2296,49475.0,L,299.4,308.7,1512.0,37.2,126.0,0,0,0,0,0,0,Tool Wear Failure
2297,49476.0,L,299.4,308.7,1553.0,42.7,128.0,0,0,0,0,0,0,Tool Wear Failure
2298,49477.0,L,299.3,308.7,1802.0,26.0,130.0,0,0,0,0,0,0,Tool Wear Failure
2299,49478.0,L,299.3,308.6,1482.0,37.6,132.0,0,0,0,0,0,0,Tool Wear Failure
2300,49479.0,L,299.4,308.7,1446.0,62.9,134.0,1,0,0,1,0,0,Power Failure
2301,49480.0,L,299.3,308.6,1371.0,50.5,136.0,0,0,0,0,0,0,Tool Wear Failure
2302,17161.0,M,299.2,308.6,1586.0,35.7,138.0,0,0,0,0,0,0,Tool Wear Failure
2303,49482.0,L,299.2,308.5,1515.0,39.8,141.0,0,0,0,0,0,0,Tool Wear Failure
2304,49483.0,L,299.2,308.5,1374.0,53.6,143.0,0,0,0,0,0,0,Tool Wear Failure
2305,49484.0,L,299.1,308.5,1455.0,39.8,145.0,0,0,0,0,0,0,Tool Wear Failure
2306,31719.0,H,299.2,308.5,1342.0,47.5,147.0,0,0,0,0,0,0,Tool Wear Failure
2307,49486.0,L,299.1,308.6,1260.0,57.8,152.0,0,0,0,0,0,0,Tool Wear Failure
2308,31721.0,H,299.0,308.5,1623.0,33.5,154.0,0,0,0,0,0,0,Tool Wear Failure
2309,49488.0,L,299.1,308.5,1371.0,55.5,159.0,0,0,0,0,0,0,Tool Wear Failure
2310,49489.0,L,299.1,308.6,1611.0,31.4,161.0,0,0,0,0,0,0,Tool Wear Failure
2311,17170.0,M,299.0,308.4,1535.0,47.5,163.0,0,0,0,0,0,0,Tool Wear Failure
2312,17171.0,M,299.1,308.6,1491.0,38.5,166.0,0,0,0,0,0,0,Tool Wear Failure
2313,17172.0,M,299.1,308.6,1441.0,36.2,169.0,0,0,0,0,0,0,Tool Wear Failure
2314,17173.0,M,299.1,308.8,1725.0,26.6,172.0,0,0,0,0,0,0,Tool Wear Failure
2315,49494.0,L,299.2,308.9,1368.0,47.2,175.0,0,0,0,0,0,0,Tool Wear Failure
2316,49495.0,L,299.2,308.9,1526.0,37.9,177.0,0,0,0,0,0,0,Tool Wear Failure
2317,49496.0,L,299.2,308.8,1542.0,39.2,179.0,0,0,0,0,0,0,Tool Wear Failure
2318,49497.0,L,299.2,308.8,1605.0,31.1,181.0,0,0,0,0,0,0,Tool Wear Failure
2319,49498.0,L,299.2,308.8,1405.0,51.4,183.0,0,0,0,0,0,0,Tool Wear Failure
2320,17179.0,M,299.2,308.8,1700.0,33.5,185.0,0,0,0,0,0,0,Tool Wear Failure
2321,31734.0,H,299.2,308.8,1440.0,39.1,188.0,0,0,0,0,0,0,Tool Wear Failure
2322,17181.0,M,299.2,308.8,1314.0,52.5,193.0,0,0,0,0,0,0,Tool Wear Failure
2323,49502.0,L,299.2,308.7,1514.0,41.9,196.0,0,0,0,0,0,0,Tool Wear Failure
2324,17183.0,M,299.2,308.7,1401.0,47.0,198.0,0,0,0,0,0,0,Tool Wear Failure
2325,49504.0,L,299.3,308.8,1636.0,29.9,201.0,0,0,0,0,0,0,Tool Wear Failure
2326,49505.0,L,299.3,308.8,1603.0,33.9,203.0,0,0,0,0,0,0,Tool Wear Failure
2327,17186.0,M,299.4,308.7,1487.0,52.6,205.0,0,0,0,0,0,0,Tool Wear Failure
2328,17187.0,M,299.3,308.7,1420.0,50.3,208.0,0,0,0,0,0,0,Tool Wear Failure
2329,49508.0,L,299.3,308.7,1579.0,36.3,211.0,0,0,0,0,0,0,Tool Wear Failure
2330,49509.0,L,299.3,308.7,1484.0,40.5,213.0,0,0,0,0,0,0,Tool Wear Failure
2331,17190.0,M,299.3,308.7,1390.0,49.3,215.0,0,0,0,0,0,0,Tool Wear Failure
2332,49511.0,L,299.3,308.6,1384.0,53.6,218.0,1,0,0,0,1,0,Overstrain Failure
2333,49512.0,L,299.2,308.5,1378.0,50.4,220.0,1,0,0,0,1,0,Overstrain Failure
2334,49513.0,L,299.2,308.5,1445.0,45.2,222.0,0,0,0,0,0,0,Tool Wear Failure
2335,49514.0,L,299.2,308.4,1445.0,43.5,224.0,0,0,0,0,0,0,Tool Wear Failure
2336,49515.0,L,299.2,308.4,1509.0,39.4,0.0,0,0,0,0,0,0,Tool Wear Failure
2337,49516.0,L,299.2,308.4,1434.0,46.8,2.0,0,0,0,0,0,0,Tool Wear Failure
2338,49517.0,L,299.2,308.4,1877.0,23.9,4.0,0,0,0,0,0,0,Tool Wear Failure
2339,49518.0,L,299.3,308.3,1651.0,28.0,6.0,0,0,0,0,0,0,Tool Wear Failure
2340,49519.0,L,299.2,308.2,1466.0,41.3,8.0,0,0,0,0,0,0,Tool Wear Failure
2341,49520.0,L,299.1,308.1,1479.0,40.7,10.0,0,0,0,0,0,0,Tool Wear Failure
2342,49521.0,L,299.1,308.2,1409.0,46.4,12.0,0,0,0,0,0,0,Tool Wear Failure
2343,17202.0,M,299.2,308.2,1674.0,28.2,14.0,0,0,0,0,0,0,Tool Wear Failure
2344,49523.0,L,299.1,308.3,1305.0,61.4,17.0,0,0,0,0,0,0,Tool Wear Failure
2345,17204.0,M,299.2,308.3,1755.0,26.4,19.0,0,0,0,0,0,0,Tool Wear Failure
2346,49525.0,L,299.2,308.4,1475.0,38.7,22.0,0,0,0,0,0,0,Tool Wear Failure
2347,49526.0,L,299.2,308.4,1402.0,47.7,24.0,0,0,0,0,0,0,Tool Wear Failure
2348,49527.0,L,299.2,308.3,1410.0,43.0,26.0,0,0,0,0,0,0,Tool Wear Failure
2349,49528.0,L,299.2,308.4,1436.0,41.8,28.0,0,0,0,0,0,0,Tool Wear Failure
2350,17209.0,M,299.3,308.5,1386.0,42.2,30.0,0,0,0,0,0,0,Tool Wear Failure
2351,49530.0,L,299.3,308.6,1744.0,26.4,33.0,0,0,0,0,0,0,Tool Wear Failure
2352,49531.0,L,299.2,308.4,1393.0,48.4,35.0,0,0,0,0,0,0,Tool Wear Failure
2353,17212.0,M,299.3,308.5,1422.0,45.4,37.0,0,0,0,0,0,0,Tool Wear Failure
2354,49533.0,L,299.2,308.4,1841.0,22.8,40.0,0,0,0,0,0,0,Tool Wear Failure
2355,49534.0,L,299.3,308.6,1433.0,37.7,42.0,0,0,0,0,0,0,Tool Wear Failure
2356,17215.0,M,299.3,308.5,1305.0,60.6,44.0,0,0,0,0,0,0,Tool Wear Failure
2357,31770.0,H,299.3,308.6,1498.0,39.5,47.0,0,0,0,0,0,0,Tool Wear Failure
2358,49537.0,L,299.3,308.5,1772.0,26.1,52.0,0,0,0,0,0,0,Tool Wear Failure
2359,17218.0,M,299.2,308.4,1381.0,42.5,54.0,0,0,0,0,0,0,Tool Wear Failure
2360,49539.0,L,299.3,308.5,1413.0,38.5,57.0,0,0,0,0,0,0,Tool Wear Failure
2361,31774.0,H,299.2,308.4,1388.0,53.2,59.0,0,0,0,0,0,0,Tool Wear Failure
2362,17221.0,M,299.2,308.6,1631.0,35.4,64.0,0,0,0,0,0,0,Tool Wear Failure
2363,31776.0,H,299.3,308.6,1520.0,41.4,67.0,0,0,0,0,0,0,Tool Wear Failure
2364,49543.0,L,299.3,308.5,1510.0,45.4,72.0,0,0,0,0,0,0,Tool Wear Failure
2365,49544.0,L,299.2,308.5,1366.0,49.7,74.0,0,0,0,0,0,0,Tool Wear Failure
2366,49545.0,L,299.4,308.5,1845.0,22.9,76.0,0,0,0,0,0,0,Tool Wear Failure
2367,49546.0,L,299.3,308.5,1485.0,44.7,78.0,0,0,0,0,0,0,Tool Wear Failure
2368,17227.0,M,299.3,308.5,1496.0,39.4,80.0,0,0,0,0,0,0,Tool Wear Failure
2369,17228.0,M,299.3,308.4,1468.0,42.2,83.0,0,0,0,0,0,0,Tool Wear Failure
2370,17229.0,M,299.2,308.4,1856.0,22.7,86.0,0,0,0,0,0,0,Tool Wear Failure
2371,49550.0,L,299.2,308.4,1620.0,34.1,89.0,0,0,0,0,0,0,Tool Wear Failure
2372,49551.0,L,299.3,308.5,1409.0,44.8,91.0,0,0,0,0,0,0,Tool Wear Failure
2373,17232.0,M,299.3,308.5,1404.0,49.4,93.0,0,0,0,0,0,0,Tool Wear Failure
2374,49553.0,L,299.2,308.4,1350.0,51.3,96.0,0,0,0,0,0,0,Tool Wear Failure
2375,17234.0,M,299.2,308.4,1538.0,38.0,98.0,0,0,0,0,0,0,Tool Wear Failure
2376,17235.0,M,299.2,308.4,1476.0,32.7,101.0,0,0,0,0,0,0,Tool Wear Failure
2377,17236.0,M,299.2,308.3,1364.0,51.8,104.0,0,0,0,0,0,0,Tool Wear Failure
2378,17237.0,M,299.2,308.3,1582.0,45.5,107.0,0,0,0,0,0,0,Tool Wear Failure
2379,49558.0,L,299.1,308.2,1348.0,56.1,110.0,0,0,0,0,0,0,Tool Wear Failure
2380,31793.0,H,299.1,308.2,1450.0,46.1,112.0,0,0,0,0,0,0,Tool Wear Failure
2381,49560.0,L,299.0,308.1,1242.0,60.9,117.0,0,0,0,0,0,0,Tool Wear Failure
2382,49561.0,L,299.1,308.2,1493.0,34.9,119.0,0,0,0,0,0,0,Tool Wear Failure
2383,49562.0,L,299.1,308.3,1601.0,31.4,121.0,0,0,0,0,0,0,Tool Wear Failure
2384,49563.0,L,299.1,308.2,1568.0,33.3,123.0,0,0,0,0,0,0,Tool Wear Failure
2385,17244.0,M,299.1,308.3,1506.0,38.0,125.0,0,0,0,0,0,0,Tool Wear Failure
2386,49565.0,L,299.1,308.3,1524.0,34.1,128.0,0,0,0,0,0,0,Tool Wear Failure
2387,49566.0,L,299.1,308.4,1543.0,37.9,130.0,0,0,0,0,0,0,Tool Wear Failure
2388,17247.0,M,299.2,308.5,1474.0,47.2,132.0,0,0,0,0,0,0,Tool Wear Failure
2389,17248.0,M,299.2,308.5,1526.0,37.3,135.0,0,0,0,0,0,0,Tool Wear Failure
2390,49569.0,L,299.2,308.5,1867.0,27.0,138.0,0,0,0,0,0,0,Tool Wear Failure
2391,49570.0,L,299.2,308.5,1487.0,41.2,140.0,0,0,0,0,0,0,Tool Wear Failure
2392,49571.0,L,299.2,308.4,1580.0,32.6,142.0,0,0,0,0,0,0,Tool Wear Failure
2393,49572.0,L,299.2,308.5,1340.0,50.0,144.0,0,0,0,0,0,0,Tool Wear Failure
2394,49573.0,L,299.2,308.5,1544.0,41.6,146.0,0,0,0,0,0,0,Tool Wear Failure
2395,49574.0,L,299.2,308.5,1488.0,40.3,148.0,0,0,0,0,0,0,Tool Wear Failure
2396,17255.0,M,299.2,308.5,1742.0,28.9,150.0,0,0,0,0,0,0,Tool Wear Failure
2397,17256.0,M,299.1,308.5,1592.0,34.2,153.0,0,0,0,0,0,0,Tool Wear Failure
2398,49577.0,L,299.2,308.6,1582.0,38.8,156.0,0,0,0,0,0,0,Tool Wear Failure
2399,49578.0,L,299.2,308.5,1490.0,43.2,158.0,0,0,0,0,0,0,Tool Wear Failure
2400,17259.0,M,299.2,308.5,1594.0,35.8,160.0,0,0,0,0,0,0,Tool Wear Failure
2401,31814.0,H,299.2,308.6,1462.0,55.0,163.0,0,0,0,0,0,0,Tool Wear Failure
2402,17261.0,M,299.2,308.6,1367.0,47.6,168.0,0,0,0,0,0,0,Tool Wear Failure
2403,49582.0,L,299.2,308.7,1325.0,51.0,171.0,0,0,0,0,0,0,Tool Wear Failure
2404,31817.0,H,299.2,308.7,1448.0,51.4,173.0,0,0,0,0,0,0,Tool Wear Failure
2405,17264.0,M,299.1,308.7,2008.0,20.3,178.0,0,0,0,0,0,0,Tool Wear Failure
2406,49585.0,L,299.1,308.7,1498.0,38.9,181.0,0,0,0,0,0,0,Tool Wear Failure
2407,49586.0,L,299.1,308.6,1437.0,41.6,183.0,0,0,0,0,0,0,Tool Wear Failure
2408,17267.0,M,299.1,308.6,1499.0,45.1,185.0,0,0,0,0,0,0,Tool Wear Failure
2409,49588.0,L,299.0,308.4,1356.0,52.6,188.0,0,0,0,0,0,0,Tool Wear Failure
2410,49589.0,L,299.1,308.5,1539.0,46.8,190.0,0,0,0,0,0,0,Tool Wear Failure
2411,49590.0,L,299.1,308.5,1689.0,32.1,192.0,0,0,0,0,0,0,Tool Wear Failure
2412,49591.0,L,299.0,308.5,1559.0,38.1,194.0,0,0,0,0,0,0,Tool Wear Failure
2413,49592.0,L,299.1,308.6,1408.0,46.7,196.0,0,0,0,0,0,0,Tool Wear Failure
2414,49593.0,L,299.0,308.5,1886.0,23.0,198.0,0,0,0,0,0,0,Tool Wear Failure
2415,49594.0,L,299.1,308.5,1415.0,43.4,0.0,0,0,0,0,0,0,Tool Wear Failure
2416,17275.0,M,299.1,308.5,1587.0,35.6,2.0,0,0,0,0,0,0,Tool Wear Failure
2417,49596.0,L,299.0,308.4,1571.0,38.6,5.0,0,0,0,0,0,0,Tool Wear Failure
2418,49597.0,L,298.9,308.3,1576.0,36.6,7.0,0,0,0,0,0,0,Tool Wear Failure
2419,49598.0,L,298.9,308.3,1660.0,34.4,9.0,0,0,0,0,0,0,Tool Wear Failure
2420,17279.0,M,298.9,308.2,1328.0,49.2,11.0,0,0,0,0,0,0,Tool Wear Failure
